,suburb,sold_year,sold_month,count,avg_bedroom,avg_bathroom,avg_car_space,avg_land_size,avg_building_size,avg_built_year,avg_price,perth,east_perth,west_perth,northbridge,crawley,nedlands
192,Northbridge,2017,7,4,2.0,1.5,1.0,125.5,91.25,2003.0,453750.0,0,0,0,1,0,0
193,Northbridge,2017,8,2,2.5,3.0,1.5,225.0,147.0,2013.5,780000.0,0,0,0,1,0,0
194,Northbridge,2017,9,3,2.6666666666666665,2.0,1.6666666666666667,181.0,113.0,2002.3333333333333,486333.3333333333,0,0,0,1,0,0
195,Northbridge,2017,10,4,2.0,2.0,1.0,114.0,81.25,2012.75,468000.0,0,0,0,1,0,0
196,Northbridge,2017,11,3,2.0,2.0,1.3333333333333333,123.66666666666667,87.66666666666667,2012.3333333333333,490000.0,0,0,0,1,0,0
197,Northbridge,2017,12,2,2.5,2.0,1.0,125.5,113.0,2002.5,457500.0,0,0,0,1,0,0
198,Northbridge,2018,1,4,2.0,1.75,1.0,110.0,83.75,2012.5,471500.0,0,0,0,1,0,0
199,Northbridge,2018,2,1,2.0,2.0,1.0,112.0,74.0,2016.0,475000.0,0,0,0,1,0,0
200,Northbridge,2018,3,5,2.0,2.0,1.2,121.6,83.4,2012.4,509600.0,0,0,0,1,0,0
201,Northbridge,2018,4,3,2.0,1.3333333333333333,1.0,116.0,85.33333333333333,1999.0,409333.3333333333,0,0,0,1,0,0
202,Northbridge,2018,5,4,1.75,1.75,1.0,99.75,70.5,2016.0,834717.0,0,0,0,1,0,0
203,Northbridge,2018,6,4,2.25,1.25,1.25,152.5,110.75,1998.5,516250.0,0,0,0,1,0,0
204,Northbridge,2018,8,2,2.0,2.0,1.0,122.5,87.0,2013.0,430500.0,0,0,0,1,0,0
