,address,price,sold date,rent,rent date,type,bedrooms,bathrooms,car space,Land size,Building size,agent
207,10/2 Colin Street,"$400,000",Jul 2019,$450pw,Oct 2015,Apartment,2,2,1,902,,Mack Hall Real Estate - Claremont
208,73/4 Delhi Street,"$320,000",Jul 2019,$420pw,Nov 2018,Apartment,1,1,1,"3,242",54,Realestate 88 East Perth - EAST PERTH
209,27/105 Colin Street,"$415,000",Jul 2019,,,Apartment,2,2,1,"2,253",,Mack Hall Real Estate - Claremont
210,49/48 Havelock Street,"$420,000",Jun 2019,$475pw,Nov 2019,Apartment,2,2,1,105,82,Ray White - Dalkeith | Claremont
211,19/141 Fitzgerald Street,"$398,000",Jun 2019,$445pw,Mar 2018,Apartment,3,2,1,,,Realestate 88 Inner City
212,111/128 Carr Street,"$169,000",Jun 2019,$255pw,Feb 2020,,,,,,,Sell Lease Property - PERTH
213,51/15-19 Carr Street,"$452,500",Jun 2019,$500pw,Mar 2010,Apartment,2,2,1,"6,092",85,Realestate 88 East Perth - EAST PERTH
214,2/2 Outram Street,"$410,000",Jun 2019,$380pw,Feb 2019,Apartment,2,2,1,,,Central Estate Agents - Subiaco
215,11/1020 Wellington Street,"$405,000",Jun 2019,$500pw,Jun 2015,Apartment,2,2,1,,,Growth Realty - Subiaco
216,11/7 Delhi Street,"$410,000",Jun 2019,$495pw,Mar 2018,Apartment,3,2,1,128,90,Jones Ballard Property Group - Como
217,2/11 Altona Street,"$1,000,000",Jun 2019,$750pw,May 2017,,,,,168,101,
218,72/48 MOUNT Street,"$480,000",Jun 2019,,,Apartment,2,1,1,"2,292",84,Realestate 88 East Perth - EAST PERTH
219,6/59 Mount Street,"$1,700,000",May 2019,,,,,,,193,200,
220,388 Newcastle Street,"$388,000",May 2019,,,Apartment,2,1,1,,,Realestate 88 Inner City
221,17/37 Florence Street,"$380,000",May 2019,$295pw,Sep 2017,,,,,,,Property Now - LOGAN RESERVE
222,1002/659 Murray Street,"$360,000",May 2019,,,Apartment,1,1,1,,,Realestate 88 East Perth
223,1510/659 Murray Street,"$540,000",May 2019,$620pw,Jun 2019,Apartment,2,2,1,,,Realestate 88 East Perth - EAST PERTH
224,68/38 Kings Park Road,"$350,000",May 2019,,,Apartment,2,1,1,,,Mack Hall Real Estate - Claremont
225,23/1331 Hay Street,"$300,000",May 2019,$350pw,Oct 2018,Apartment,1,1,1,725,53,LJ Hooker City Residential -
226,77/139-141 Fitzgerald Street,"$300,000",Apr 2019,$480pw,Jan 2015,Apartment,2,1,1,98,,OEIJ Property - Perth
227,1702/659 Murray Street,"$380,000",Apr 2019,,,Apartment,1,1,1,78,,Realestate 88 East Perth - EAST PERTH
